Product Code,Category,Size,Bottle,Cap, Price in Php ,FILENAME USED
PT 282,PET Bottles,120ml,Skin,Lotion Pump Flat,13.44,120ml-Skin-+-Lotion Pump Flat
PT 283,PET Bottles,120ml,Skin,Mushroom Fliptop Cap,9.52,120ml-Skin-+-Mushroom Fliptop Cap
PT 284,PET Bottles,120ml,Skin,Mushroom Screw Cap,9.52,120ml-Skin-+-Mushroom Screw Cap
PT 286,PET Bottles,120ml,Skin,Pump Spray,12.88,120ml-Skin-+-Pump Spray
PT 288,PET Bottles,120ml,Skin,Pump Spray Shroud,19.04,120ml-Skin-+-Pump Spray Shroud
PT 291,PET Bottles,120ml,Square,Aluminum Fake Cap,8.4,120ml-Square-+-Aluminum Fake Cap
PT 293,PET Bottles,120ml,Square,Aluminum Screw Pump,15.68,120ml-Square-+-Aluminum Screw Pump
PT 294,PET Bottles,120ml,Square,Ardent Fliptop Cap,8.96,120ml-Square-+-Ardent Fliptop Cap
PT 295,PET Bottles,120ml,Square,Ball Fliptop Cap,10.08,120ml-Square-+-Ball Fliptop Cap
PT 296,PET Bottles,120ml,Square,Disc Cap,10.08,120ml-Square-+-Disc Cap
PT 297,PET Bottles,120ml,Square,Gel Pump,13.44,120ml-Square-+-Gel Pump
PT 299,PET Bottles,120ml,Square,Lotion Pump Flat,13.44,120ml-Square-+-Lotion Pump Flat
PT 300,PET Bottles,120ml,Square,Mushroom Fliptop Cap,8.96,120ml-Square-+-Mushroom Fliptop Cap
PT 301,PET Bottles,120ml,Square,Mushroom Screw Cap,8.96,120ml-Square-+-Mushroom Screw Cap
PT 303,PET Bottles,120ml,Square,Pump Spray,11.76,120ml-Square-+-Pump Spray
PT 304,PET Bottles,120ml,Square,Pump Spray Fancy,24.64,120ml-Square-+-Pump Spray Fancy
PT 305,PET Bottles,120ml,Square,Pump Spray Shroud,17.92,120ml-Square-+-Pump Spray Shroud
PT 308,PET Bottles,120ml,Teardrop,Aluminum Fake Cap,7.84,120ml-Teardrop-+-Aluminum Fake Cap
PT 310,PET Bottles,120ml,Teardrop,Aluminum Screw Pump,14.56,120ml-Teardrop-+-Aluminum Screw Pump
PT 311,PET Bottles,120ml,Teardrop,Ardent Fliptop Cap,8.96,120ml-Teardrop-+-Ardent Fliptop Cap
PT 312,PET Bottles,120ml,Teardrop,Ball Fliptop Cap,9.52,120ml-Teardrop-+-Ball Fliptop Cap
PT 313,PET Bottles,120ml,Teardrop,Disc Cap,8.4,120ml-Teardrop-+-Disc Cap
PT 314,PET Bottles,120ml,Teardrop,Gel Pump,12.32,120ml-Teardrop-+-Gel Pump
PT 316,PET Bottles,120ml,Teardrop,Lotion Pump Flat,12.32,120ml-Teardrop-+-Lotion Pump Flat
PT 317,PET Bottles,120ml,Teardrop,Mushroom Fliptop Cap,8.4,120ml-Teardrop-+-Mushroom Fliptop Cap
PT 318,PET Bottles,120ml,Teardrop,Mushroom Screw Cap,8.4,120ml-Teardrop-+-Mushroom Screw Cap
PT 320,PET Bottles,120ml,Teardrop,Pump Spray,11.2,120ml-Teardrop-+-Pump Spray
PT 321,PET Bottles,120ml,Teardrop,Pump Spray Fancy,23.52,120ml-Teardrop-+-Pump Spray Fancy
PT 322,PET Bottles,120ml,Teardrop,Pump Spray Shroud,16.8,120ml-Teardrop-+-Pump Spray Shroud
PT 325,PET Bottles,120ml,Wave,Aluminum Fake Cap,8.4,120ml-Wave-+-Aluminum Fake Cap
PT 327,PET Bottles,120ml,Wave,Aluminum Screw Pump,15.68,120ml-Wave-+-Aluminum Screw Pump
PT 328,PET Bottles,120ml,Wave,Ardent Fliptop Cap,8.96,120ml-Wave-+-Ardent Fliptop Cap
PT 329,PET Bottles,120ml,Wave,Ball Fliptop Cap,10.08,120ml-Wave-+-Ball Fliptop Cap
PT 330,PET Bottles,120ml,Wave,Disc Cap,10.08,120ml-Wave-+-Disc Cap
PT 331,PET Bottles,120ml,Wave,Gel Pump,13.44,120ml-Wave-+-Gel Pump
PT 333,PET Bottles,120ml,Wave,Lotion Pump Flat,13.44,120ml-Wave-+-Lotion Pump Flat
PT 334,PET Bottles,120ml,Wave,Mushroom Fliptop Cap,8.96,120ml-Wave-+-Mushroom Fliptop Cap
PT 335,PET Bottles,120ml,Wave,Mushroom Screw Cap,8.96,120ml-Wave-+-Mushroom Screw Cap
PT 337,PET Bottles,120ml,Wave,Pump Spray,12.32,120ml-Wave-+-Pump Spray
PT 338,PET Bottles,120ml,Wave,Pump Spray Fancy,24.64,120ml-Wave-+-Pump Spray Fancy
PT 339,PET Bottles,120ml,Wave,Pump Spray Shroud,17.92,120ml-Wave-+-Pump Spray Shroud
PT 342,PET Bottles,130ml,BBW,Aluminum Fake Cap,9.52,130ml-BBW-+-Aluminum Fake Cap
PT 344,PET Bottles,130ml,BBW,Aluminum Screw Pump,16.8,130ml-BBW-+-Aluminum Screw Pump
PT 345,PET Bottles,130ml,BBW,Ardent Fliptop Cap,10.08,130ml-BBW-+-Ardent Fliptop Cap
PT 346,PET Bottles,130ml,BBW,Ball Fliptop Cap,11.2,130ml-BBW-+-Ball Fliptop Cap
PT 347,PET Bottles,130ml,BBW,Disc Cap,11.2,130ml-BBW-+-Disc Cap
PT 348,PET Bottles,130ml,BBW,Gel Pump,14.56,130ml-BBW-+-Gel Pump
PT 350,PET Bottles,130ml,BBW,Lotion Pump Flat,14.56,130ml-BBW-+-Lotion Pump Flat
PT 351,PET Bottles,130ml,BBW,Mushroom Fliptop Cap,10.08,130ml-BBW-+-Mushroom Fliptop Cap
PT 352,PET Bottles,130ml,BBW,Mushroom Screw Cap,10.08,130ml-BBW-+-Mushroom Screw Cap
PT 354,PET Bottles,130ml,BBW,Pump Spray,13.44,130ml-BBW-+-Pump Spray
PT 355,PET Bottles,130ml,BBW,Pump Spray Fancy,25.76,130ml-BBW-+-Pump Spray Fancy
PT 356,PET Bottles,130ml,BBW,Pump Spray Shroud,20.16,130ml-BBW-+-Pump Spray Shroud
PT 359,PET Bottles,130ml,Milk Jr,Aluminum Fake Cap,8.4,130ml-Milk Jr-+-Aluminum Fake Cap
PT 361,PET Bottles,130ml,Milk Jr,Aluminum Screw Pump,15.68,130ml-Milk Jr-+-Aluminum Screw Pump
PT 362,PET Bottles,130ml,Milk Jr,Ardent Fliptop Cap,8.96,130ml-Milk Jr-+-Ardent Fliptop Cap
PT 363,PET Bottles,130ml,Milk Jr,Ball Fliptop Cap,10.08,130ml-Milk Jr-+-Ball Fliptop Cap
PT 364,PET Bottles,130ml,Milk Jr,Disc Cap,10.08,130ml-Milk Jr-+-Disc Cap
PT 365,PET Bottles,130ml,Milk Jr,Gel Pump,13.44,130ml-Milk Jr-+-Gel Pump
PT 367,PET Bottles,130ml,Milk Jr,Lotion Pump Flat,13.44,130ml-Milk Jr-+-Lotion Pump Flat
PT 368,PET Bottles,130ml,Milk Jr,Mushroom Fliptop Cap,8.96,130ml-Milk Jr-+-Mushroom Fliptop Cap
PT 369,PET Bottles,130ml,Milk Jr,Mushroom Screw Cap,8.96,130ml-Milk Jr-+-Mushroom Screw Cap
PT 371,PET Bottles,130ml,Milk Jr,Pump Spray,12.32,130ml-Milk Jr-+-Pump Spray
PT 372,PET Bottles,130ml,Milk Jr,Pump Spray Fancy,24.64,130ml-Milk Jr-+-Pump Spray Fancy
PT 373,PET Bottles,130ml,Milk Jr,Pump Spray Shroud,17.92,130ml-Milk Jr-+-Pump Spray Shroud
PT 376,PET Bottles,130ml,Trapezoid,Aluminum Fake Cap,8.96,130ml-Trapezoid-+-Aluminum Fake Cap
PT 379,PET Bottles,130ml,Trapezoid,Ardent Fliptop Cap,9.52,130ml-Trapezoid-+-Ardent Fliptop Cap
PT 380,PET Bottles,130ml,Trapezoid,Ball Fliptop Cap,11.2,130ml-Trapezoid-+-Ball Fliptop Cap
PT 382,PET Bottles,130ml,Trapezoid,Gel Pump,14.56,130ml-Trapezoid-+-Gel Pump
PT 384,PET Bottles,130ml,Trapezoid,Lotion Pump Flat,14.56,130ml-Trapezoid-+-Lotion Pump Flat
PT 385,PET Bottles,130ml,Trapezoid,Mushroom Fliptop Cap,9.52,130ml-Trapezoid-+-Mushroom Fliptop Cap
PT 386,PET Bottles,130ml,Trapezoid,Mushroom Screw Cap,10.08,130ml-Trapezoid-+-Mushroom Screw Cap
PT 388,PET Bottles,130ml,Trapezoid,Pump Spray,13.44,130ml-Trapezoid-+-Pump Spray
PT 390,PET Bottles,130ml,Trapezoid,Pump Spray Shroud,20.16,130ml-Trapezoid-+-Pump Spray Shroud
PT 393,PET Bottles,150ml,BBW,Aluminum Fake Cap,9.52,150ml-BBW-+-Aluminum Fake Cap
PT 395,PET Bottles,150ml,BBW,Aluminum Screw Pump,16.8,150ml-BBW-+-Aluminum Screw Pump
PT 396,PET Bottles,150ml,BBW,Ardent Fliptop Cap,10.08,150ml-BBW-+-Ardent Fliptop Cap
PT 397,PET Bottles,150ml,BBW,Ball Fliptop Cap,11.2,150ml-BBW-+-Ball Fliptop Cap
PT 398,PET Bottles,150ml,BBW,Disc Cap,11.2,150ml-BBW-+-Disc Cap
PT 399,PET Bottles,150ml,BBW,Gel Pump,14.56,150ml-BBW-+-Gel Pump
PT 401,PET Bottles,150ml,BBW,Lotion Pump Flat,14.56,150ml-BBW-+-Lotion Pump Flat
PT 402,PET Bottles,150ml,BBW,Mushroom Fliptop Cap,10.08,150ml-BBW-+-Mushroom Fliptop Cap
PT 403,PET Bottles,150ml,BBW,Mushroom Screw Cap,10.08,150ml-BBW-+-Mushroom Screw Cap
PT 405,PET Bottles,150ml,BBW,Pump Spray,13.44,150ml-BBW-+-Pump Spray
PT 406,PET Bottles,150ml,BBW,Pump Spray Fancy,25.76,150ml-BBW-+-Pump Spray Fancy
PT 407,PET Bottles,150ml,BBW,Pump Spray Shroud,20.16,150ml-BBW-+-Pump Spray Shroud
PT 410,PET Bottles,150ml,Boston,Aluminum Fake Cap,8.4,150ml-Boston-+-Aluminum Fake Cap
PT 412,PET Bottles,150ml,Boston,Aluminum Screw Pump,15.68,150ml-Boston-+-Aluminum Screw Pump
PT 413,PET Bottles,150ml,Boston,Ardent Fliptop Cap,8.96,150ml-Boston-+-Ardent Fliptop Cap
PT 414,PET Bottles,150ml,Boston,Ball Fliptop Cap,10.08,150ml-Boston-+-Ball Fliptop Cap
PT 415,PET Bottles,150ml,Boston,Disc Cap,10.08,150ml-Boston-+-Disc Cap
PT 416,PET Bottles,150ml,Boston,Gel Pump,13.44,150ml-Boston-+-Gel Pump
PT 418,PET Bottles,150ml,Boston,Lotion Pump Flat,13.44,150ml-Boston-+-Lotion Pump Flat
PT 419,PET Bottles,150ml,Boston,Mushroom Fliptop Cap,8.96,150ml-Boston-+-Mushroom Fliptop Cap
PT 420,PET Bottles,150ml,Boston,Mushroom Screw Cap,8.96,150ml-Boston-+-Mushroom Screw Cap
